Name,Address,Phone,Website,Email,Maps URL,Status
College Hunks Hauling Junk and Moving Des Moines,"Address: 10500 Hickman Rd, Clive, IA 50325 ",Phone: (515) 619-5486 ,https://www.collegehunkshaulingjunk.com/des-moines/?utm_source=GMB&utm_medium=organic&utm_campaign=ia-des-moines-150,,https://www.google.com/maps/place/College+Hunks+Hauling+Junk+and+Moving+Des+Moines/data=!4m7!3m6!1s0x87ec20b60d842ec9:0xc097c85a561c5322!8m2!3d41.6140429!4d-93.7627848!16s%2Fg%2F11dxkwl9qt!19sChIJyS6EDbYg7IcRIlMcVlrIl8A?authuser=0&hl=en&rclk=1,Official Website
Junk Removal Des Moines IA,"Address: 509 Boyd St, Des Moines, IA 50313 ",Phone: (515) 705-2434 ,https://mrjunkbgoneseattle.com/des-moines-iowa-junk-removal/,,https://www.google.com/maps/place/Junk+Removal+Des+Moines+IA/data=!4m7!3m6!1s0x87ee99278bee5a63:0x2d85f46dcc96de31!8m2!3d41.6211905!4d-93.6121135!16s%2Fg%2F11x1_cr4qk!19sChIJY1ruiyeZ7ocRMd6WzG30hS0?authuser=0&hl=en&rclk=1,Official Website
Richie Bros Junk Removal,"Address: 4517 76th St, Urbandale, IA 50322 ",Phone: (515) 822-6322 ,https://www.richiebrosjunkremoval.com/,Info@richiebrosjunkremoval.com,https://www.google.com/maps/place/Richie+Bros+Junk+Removal/data=!4m7!3m6!1s0x87ee9db7c6169dc1:0xadba8c40ba8a04e2!8m2!3d41.6431479!4d-93.7221891!16s%2Fg%2F11mby5mlf5!19sChIJwZ0Wxred7ocR4gSKukCMuq0?authuser=0&hl=en&rclk=1,Official Website
Midwest Junk Zone,"Address: 732 9th St, West Des Moines, IA 50265 ",Phone: (515) 452-9744 ,https://midwestjunkzone.com/,midwestjunkzone@gmail.com,https://www.google.com/maps/place/Midwest+Junk+Zone/data=!4m7!3m6!1s0xa54c85b259b611a5:0xe1ef81017f89ff62!8m2!3d41.580589!4d-93.7146649!16s%2Fg%2F11xgvbcmj9!19sChIJpRG2WbKFTKURYv-JfwGB7-E?authuser=0&hl=en&rclk=1,Official Website
Des Moines Junk Car Removal,,Phone: (515) 721-8017 ,https://www.facebook.com/profile.php?id=61550698134846&mibextid=LQQJ4d,,https://www.google.com/maps/place/Des+Moines+Junk+Car+Removal/data=!4m7!3m6!1s0x2cde673f35644bd1:0x168262e061ad3457!8m2!3d41.6372816!4d-93.6369485!16s%2Fg%2F11lcndz02c!19sChIJ0UtkNT9n3iwRVzStYeBighY?authuser=0&hl=en&rclk=1,Platform Only
Action Junk Hauling Seattle South,"Address: 1642 S 240th St, Des Moines, WA 98198 ",Phone: (206) 502-1969 ,https://actionjunkhauling.com/locations/junk-removal-seattle/?utm_source=gbp&utm_medium=organic-serp&utm_campaign=seattle-south,,https://www.google.com/maps/place/Action+Junk+Hauling+Seattle+South/data=!4m7!3m6!1s0x54905bc543e05a6f:0xb33440da4418ae9!8m2!3d47.3868656!4d-122.3115335!16s%2Fg%2F11p5rjmx2s!19sChIJb1rgQ8VbkFQR6YpBpA1EMws?authuser=0&hl=en&rclk=1,Official Website
Salvage Squad Junk Removal,"Address: 270 Bell Ave, Des Moines, IA 50321 ",Phone: (515) 216-0698 ,,,https://www.google.com/maps/place/Salvage+Squad+Junk+Removal/data=!4m7!3m6!1s0x87ee98611fbe9b83:0x1be2944b30813f52!8m2!3d41.5615037!4d-93.6180822!16s%2Fg%2F11wy3w4mb9!19sChIJg5u-H2GY7ocRUj-BMEuU4hs?authuser=0&hl=en&rclk=1,No Website
Junk Free Iowa,"Address: 1605 SE Delaware Ave Suite B, Ankeny, IA 50021 ",Phone: (515) 400-0326 ,https://junkfreeiowa.com/,office@junkfreeiowa.com,https://www.google.com/maps/place/Junk+Free+Iowa/data=!4m7!3m6!1s0xa564fd3432a1ec0f:0x2ce9c010a8214a8!8m2!3d41.7135758!4d-93.5798827!16s%2Fg%2F11wmss2358!19sChIJD-yhMjT9ZKURqBSCCgGczgI?authuser=0&hl=en&rclk=1,Official Website
Des Moines Property Preservation LLC,,Phone: (515) 577-8241 ,http://www.desmoinespropertypreservation.com/,,https://www.google.com/maps/place/Des+Moines+Property+Preservation+LLC/data=!4m7!3m6!1s0x87ee9f8167556351:0x61b5824d689d7e78!8m2!3d41.511985!4d-93.804339!16s%2Fg%2F11f7dl7747!19sChIJUWNVZ4Gf7ocReH6daE2CtWE?authuser=0&hl=en&rclk=1,Official Website
Buying junk autos in Des Moines,"Address: 124 E Holcomb Ave, Des Moines, IA 50313 ",Phone: (515) 918-8100 ,,,https://www.google.com/maps/place/Buying+junk+autos+in+Des+Moines/data=!4m7!3m6!1s0x87ee9beffdb1673b:0x45b3977833fd17ed!8m2!3d41.6165397!4d-93.6176607!16s%2Fg%2F11p0gkqh5n!19sChIJO2ex_e-b7ocR7Rf9M3iXs0U?authuser=0&hl=en&rclk=1,No Website
You First Junk,,Phone: (515) 802-7290 ,https://youfirstmoving.com/services/junk-removal/,sales@kellygrimsleyautogroup.edealerhub.com,https://www.google.com/maps/place/You+First+Junk/data=!4m7!3m6!1s0x87ec276e91682315:0xb03e339f581c5a4c!8m2!3d41.5803478!4d-93.6784425!16s%2Fg%2F11p0y93kcz!19sChIJFSNokW4n7IcRTFocWJ8zPrA?authuser=0&hl=en&rclk=1,Official Website
Heavenly Hauling & Cleaning Service,,Phone: (515) 779-8798 ,https://heavenlyhaulingcleaningservice.com/,heavenlyhauling44@yahoo.com,https://www.google.com/maps/place/Heavenly+Hauling+%26+Cleaning+Service/data=!4m7!3m6!1s0x87ee999dc0f44937:0xfeda17039b87878a!8m2!3d41.7051674!4d-93.6928204!16s%2Fg%2F1tdq6krw!19sChIJN0n0wJ2Z7ocRioeHmwMX2v4?authuser=0&hl=en&rclk=1,Official Website
